time,open,high,low,close,tick_volume,spread,real_volume
2023-06-02 08:45:00,138.93,138.954,138.875,138.884,746,0,0
2023-06-02 09:00:00,138.886,138.91,138.789,138.841,1050,0,0
2023-06-02 09:15:00,138.84,138.927,138.824,138.916,1120,0,0
2023-06-02 09:30:00,138.914,138.947,138.841,138.853,868,0,0
2023-06-02 09:45:00,138.853,138.92,138.846,138.853,953,0,0
2023-06-02 10:00:00,138.853,138.923,138.828,138.869,1452,0,0
2023-06-02 10:15:00,138.869,138.921,138.858,138.882,1269,0,0
2023-06-02 10:30:00,138.882,139.001,138.856,138.982,1498,0,0
2023-06-02 10:45:00,138.978,139.031,138.923,139.005,1260,0,0
2023-06-02 11:00:00,139.004,139.105,138.994,139.021,1283,0,0
2023-06-02 11:15:00,139.022,139.054,138.951,138.956,1159,0,0
2023-06-02 11:30:00,138.958,138.958,138.884,138.911,1098,0,0
2023-06-02 11:45:00,138.911,138.929,138.794,138.825,1196,0,0
2023-06-02 12:00:00,138.825,138.897,138.765,138.895,1224,0,0
2023-06-02 12:15:00,138.894,138.922,138.864,138.919,1052,0,0
2023-06-02 12:30:00,138.92,138.936,138.8,138.813,1091,0,0
2023-06-02 12:45:00,138.814,138.817,138.744,138.767,1066,0,0
2023-06-02 13:00:00,138.77,138.813,138.75,138.794,997,0,0
2023-06-02 13:15:00,138.793,138.864,138.778,138.851,829,0,0
2023-06-02 13:30:00,138.851,138.877,138.812,138.813,959,0,0
2023-06-02 13:45:00,138.814,138.9,138.806,138.888,815,0,0
2023-06-02 14:00:00,138.889,138.941,138.872,138.929,1233,0,0
2023-06-02 14:15:00,138.929,138.982,138.872,138.872,905,0,0
2023-06-02 14:30:00,138.871,138.969,138.862,138.929,1012,0,0
2023-06-02 14:45:00,138.928,138.951,138.903,138.928,1028,0,0
2023-06-02 15:00:00,138.93,138.938,138.844,138.914,1216,0,0
2023-06-02 15:15:00,138.913,138.952,138.835,138.933,1710,0,0
2023-06-02 15:30:00,138.933,139.457,138.735,139.169,5460,0,0
2023-06-02 15:45:00,139.173,139.443,139.099,139.246,3693,0,0
2023-06-02 16:00:00,139.246,139.296,139.087,139.188,2897,0,0
2023-06-02 16:15:00,139.187,139.215,138.988,139.022,1774,0,0
2023-06-02 16:30:00,139.022,139.257,138.969,139.253,2772,0,0
2023-06-02 16:45:00,139.253,139.489,139.252,139.409,2805,0,0
2023-06-02 17:00:00,139.41,139.458,139.263,139.448,2013,0,0
2023-06-02 17:15:00,139.447,139.687,139.398,139.573,2563,0,0
2023-06-02 17:30:00,139.571,139.596,139.441,139.503,1833,0,0
2023-06-02 17:45:00,139.505,139.673,139.505,139.652,1915,0,0
2023-06-02 18:00:00,139.654,139.684,139.586,139.595,1614,0,0
2023-06-02 18:15:00,139.596,139.767,139.589,139.692,1397,0,0
2023-06-02 18:30:00,139.692,139.762,139.654,139.747,1314,0,0
2023-06-02 18:45:00,139.748,139.816,139.723,139.759,1108,0,0
2023-06-02 19:00:00,139.759,139.876,139.744,139.827,1045,0,0
2023-06-02 19:15:00,139.826,139.906,139.822,139.879,1086,0,0
2023-06-02 19:30:00,139.879,139.879,139.815,139.833,734,0,0
2023-06-02 19:45:00,139.831,139.894,139.831,139.89,770,0,0
2023-06-02 20:00:00,139.89,139.915,139.861,139.887,691,0,0
2023-06-02 20:15:00,139.886,139.924,139.876,139.915,637,2,0
2023-06-02 20:30:00,139.915,139.975,139.913,139.967,736,2,0
2023-06-02 20:45:00,139.966,139.996,139.953,139.989,666,2,0
2023-06-02 21:00:00,139.989,140.068,139.977,140.062,840,2,0
2023-06-02 21:15:00,140.064,140.065,139.971,139.973,639,2,0
2023-06-02 21:30:00,139.972,139.989,139.902,139.916,663,2,0
2023-06-02 21:45:00,139.921,139.936,139.892,139.924,604,2,0
2023-06-02 22:00:00,139.922,139.971,139.905,139.963,438,2,0
2023-06-02 22:15:00,139.963,139.964,139.914,139.943,388,2,0
2023-06-02 22:30:00,139.943,139.979,139.941,139.951,389,2,0
2023-06-02 22:45:00,139.951,139.986,139.941,139.974,510,2,0
2023-06-02 23:00:00,139.973,139.978,139.934,139.965,475,3,0
